type,value,description
Contacts_AttributeDefinitionEmail,work:,
Contacts_AttributeDefinitionEmail,private:,
Contacts_AttributeDefinitionPhone,private:,
Contacts_AttributeDefinitionPhone,work:,
Contacts_AttributeDefinitionPhone,Nextel:,
Contacts_AttributeDefinitionPhone,mobile:,
Contacts_AttributeDefinitionCountry,Peru,
Contacts_AttributeDefinitionCommercialActivities,-,
Contacts_AttributeDefinitionIndustry,-,
Contacts_AttributeDefinitionProducttype,-,
Contacts_AttributeDefinitionDOIType,01,D.N.I.
Contacts_AttributeDefinitionDOIType,04,C.E.